val_loss,epoch,step,train_loss
0.7072767615318298,0,12,
,1,19,0.699020504951477
0.706656277179718,1,25,
0.7059745788574219,2,38,
,3,39,0.6859344244003296
0.7052821516990662,3,51,
,4,59,0.7110657691955566
0.7045993208885193,4,64,
0.7039495706558228,5,77,
,6,79,0.6912020444869995
0.7032557725906372,6,90,
,7,99,0.6930179595947266
0.7024493217468262,7,103,
0.7016597986221313,8,116,
,9,119,0.6788851618766785
0.7009217143058777,9,129,
,10,139,0.700122058391571
0.7002303600311279,10,142,
0.6995157599449158,11,155,
,12,159,0.7126438617706299
0.6989019513130188,12,168,
,13,179,0.6930989623069763
0.6983874440193176,13,181,
0.6978743076324463,14,194,
,15,199,0.7149186730384827
0.6973312497138977,15,207,
,16,219,0.6919220685958862
0.6968631148338318,16,220,
0.6963502764701843,17,233,
,18,239,0.7081754207611084
0.6959899663925171,18,246,
,19,259,0.7192500233650208
0.6956130862236023,19,259,
0.6951583027839661,20,272,
,21,279,0.6693083643913269
0.6947193741798401,21,285,
0.6943555474281311,22,298,
,23,299,0.6670695543289185
0.6938825845718384,23,311,
,24,319,0.6980990171432495
0.6934100985527039,24,324,
0.6929146647453308,25,337,
,26,339,0.7011035084724426
0.692365825176239,26,350,
,27,359,0.677366316318512
0.6918493509292603,27,363,
0.691446840763092,28,376,
,29,379,0.691371500492096
0.6910967230796814,29,389,
,30,399,0.7041389346122742
0.6907743811607361,30,402,
0.6905763745307922,31,415,
,32,419,0.7016711235046387
0.6903437972068787,32,428,
,33,439,0.6571393609046936
0.6901466250419617,33,441,
0.6899620294570923,34,454,
,35,459,0.6726303100585938
0.6897711753845215,35,467,
,36,479,0.7255438566207886
0.6896174550056458,36,480,
0.6894585490226746,37,493,
,38,499,0.6657490134239197
0.6892563104629517,38,506,
,39,519,0.6983091831207275
0.689119279384613,39,519,
0.6889622211456299,40,532,
,41,539,0.6715127825737
0.688800573348999,41,545,
0.6887085437774658,42,558,
,43,559,0.6823258399963379
0.6885514855384827,43,571,
,44,579,0.6854642629623413
0.6884214878082275,44,584,
0.688296377658844,45,597,
,46,599,0.6917933821678162
0.6881781220436096,46,610,
,47,619,0.6777846217155457
0.6880525946617126,47,623,
0.6879245042800903,48,636,
,49,639,0.665112316608429
0.6878237128257751,49,649,
